Date,Close ,Open,Hign,Low,Volume,Percent
2013年4月15日,646.75,660.5,661,644.5,96.37K,-1.78%
2013年4月12日,658.5,651.25,659.75,651.25,93.74K,1.11%
2013年4月11日,651.25,649,661.5,647,140.56K,0.35%
2013年4月10日,649,644,666.75,634.25,195.46K,0.74%
2013年4月9日,644.25,634.25,646,634,157.85K,1.70%
2013年4月8日,633.5,627.5,635.5,627.5,127.97K,0.72%
2013年4月5日,629,630,635.75,626.5,152.29K,-0.16%
2013年4月4日,630,642.5,644,627,169.84K,-1.79%
2013年4月3日,641.5,641.5,647,635.75,165.64K,0.16%
2013年4月2日,640.5,647,653.75,634,197.04K,-0.27%
2013年4月1日,642.25,679,679,636.5,273.48K,-4.62%
2013年3月31日,673.38,675.63,676.38,671.63,-,-3.15%
2013年3月28日,695.25,734,736.25,695.25,207.05K,-5.44%
2013年3月27日,735.25,730,737.75,727.75,115.15K,0.68%
2013年3月26日,730.25,731.5,732.75,725.5,94.36K,-0.41%
2013年3月25日,733.25,725.5,734,721.5,94.64K,0.63%
2013年3月24日,728.63,725.63,728.88,725.63,-,0.33%
2013年3月22日,726.25,732.25,733,720,117.97K,-0.92%
2013年3月21日,733,731.25,734.5,726.5,96.28K,0.07%
2013年3月20日,732.5,727,733,724.5,121.85K,0.55%
2013年3月19日,728.5,719,728.75,718.5,131.28K,1.18%
2013年3月18日,720,715.5,721,710,92.67K,1.00%
2013年3月17日,712.88,715.63,716.38,712.63,-,-0.58%
2013年3月15日,717,716,719.75,712.25,100.02K,-2.15%
2013年3月14日,732.75,742,749,730,1.13K,-1.15%
2013年3月13日,741.25,741,744,730,2.13K,0.03%
2013年3月12日,741,733.25,743.25,730,1.79K,0.88%
2013年3月11日,734.5,726.5,736.75,725.5,1.51K,3.94%
2013年3月10日,706.63,703.13,706.88,703.13,-,-2.57%
2013年3月8日,725.25,712.75,725.75,711.5,1.68K,1.93%
2013年3月7日,711.5,707.75,713.5,704,2.06K,0.49%
2013年3月6日,708,732.25,732.25,707.5,6.06K,-3.28%
2013年3月5日,732,723,733.5,722.75,6.35K,1.24%
2013年3月4日,723,724.25,730.5,715.25,8.02K,1.94%
2013年3月3日,709.25,707.13,709.38,707.13,-,-2.07%
2013年3月1日,724.25,719.5,726.5,716,14.20K,0.66%
2013年2月28日,719.5,709.5,722,709.5,42.72K,1.41%
2013年2月27日,709.5,705,711.25,702.5,117.89K,0.64%
2013年2月26日,705,693.5,705.75,691.75,125.54K,1.66%
2013年2月25日,693.5,690,695.5,687.5,110.97K,1.00%
2013年2月24日,686.63,684.38,687.63,682.38,-,-0.53%
2013年2月22日,690.25,692,697.75,690,121.67K,-0.07%
2013年2月21日,690.75,700,701.25,690,137.03K,-1.39%
2013年2月20日,700.5,696.75,701.5,693.25,140.77K,0.76%
2013年2月19日,695.25,701,703.25,691,126.56K,-0.50%
2013年2月15日,698.75,695,703.25,694,126.66K,0.58%
2013年2月14日,694.75,695.75,699.25,690,133.47K,-0.11%
2013年2月13日,695.5,696.5,701,687.25,187.13K,-0.11%
2013年2月12日,696.25,702.25,703.25,691.5,202.09K,-0.85%
2013年2月11日,702.25,709,713.75,701,185.56K,-0.71%
2013年2月10日,707.25,708.88,708.88,706.63,-,-0.25%
2013年2月8日,709,710.5,720.75,706.75,244.57K,-0.25%
2013年2月7日,710.75,721.25,722.25,710,182.49K,-1.63%
2013年2月6日,722.5,729.25,729.5,720.5,117.53K,-0.89%
2013年2月5日,729,734,735,724,138.90K,-0.72%
2013年2月4日,734.25,738.5,741.75,730.75,102.03K,-0.44%
2013年2月3日,737.5,738.88,738.88,736.75,-,0.20%
2013年2月1日,736,740.25,746.25,735,159.08K,-0.61%
2013年1月31日,740.5,739.25,744.5,734.25,163.80K,0.03%
2013年1月30日,740.25,729,741,725.5,152.25K,1.47%
2013年1月29日,729.5,728.5,732.5,727.5,109.08K,0.03%
2013年1月28日,729.25,722.75,729.75,719,101.03K,0.83%
2013年1月27日,723.25,722.5,724.38,720.63,-,0.35%
2013年1月25日,720.75,725,727.5,717.5,110.65K,-0.48%
2013年1月24日,724.25,720.25,726,714.5,128.86K,0.49%
2013年1月23日,720.75,728,730.5,719.25,118.85K,-1.06%
2013年1月22日,728.5,730.25,734.75,726.25,104.38K,0.15%
2013年1月20日,727.38,727.38,727.38,727.38,-,-0.02%
2013年1月18日,727.5,724.5,729.5,723,134.68K,0.41%
2013年1月17日,724.5,731.25,734,722.5,114.28K,-0.92%
2013年1月16日,731.25,730,735,724.5,155.13K,0.10%
2013年1月15日,730.5,723.5,734.5,722,175.27K,0.90%
2013年1月14日,724,713.75,726.75,713,173.52K,0.61%
2013年1月13日,719.63,714,719.63,713.5,-,1.53%
2013年1月11日,708.75,698.5,723.75,686.25,305.61K,1.43%
2013年1月10日,698.75,694.75,700.5,694.5,134.03K,0.65%
2013年1月9日,694.25,688,696,686.5,115.57K,0.80%
2013年1月8日,688.75,685.5,694.5,683.75,122.41K,0.47%
2013年1月7日,685.5,680.5,690,678,116.84K,0.57%
2013年1月6日,681.63,680.75,682.63,679.38,-,0.20%
